2 cores,3 cores,4 cores,5 cores,6 cores,7 cores,8 cores
2.182856321334839,1.6016368865966797,1.58528733253479,1.6027753353118896,1.6244816780090332,1.7197926044464111,1.6431891918182373
1.8547954559326172,1.6581666469573975,1.6471257209777832,1.5953254699707031,1.6111218929290771,1.6687390804290771,1.6042418479919434
1.8961000442504883,1.634850263595581,1.579491138458252,1.5922105312347412,1.5965931415557861,1.6499719619750977,1.6640617847442627
1.8141705989837646,1.6587672233581543,1.5506200790405273,1.6217575073242188,1.587249994277954,1.659407138824463,1.6111421585083008
1.880289077758789,1.716984748840332,1.5820472240447998,1.541473150253296,1.6064105033874512,1.6695172786712646,1.558976650238037
1.9069936275482178,1.6596057415008545,1.5425891876220703,1.5762214660644531,1.605757713317871,1.6989026069641113,1.6408722400665283
2.1057469844818115,1.6656303405761719,1.5724027156829834,1.5632615089416504,1.5943751335144043,1.5887324810028076,1.6336588859558105
1.9273531436920166,1.674163579940796,1.5365791320800781,1.6135740280151367,1.5996582508087158,1.5348901748657227,1.5722742080688477
1.9086792469024658,1.6937451362609863,1.5824804306030273,1.5131855010986328,1.5904028415679932,1.530334711074829,1.7022721767425537
1.9311270713806152,1.6818079948425293,1.6021595001220703,1.5499072074890137,1.6395912170410156,1.6214821338653564,1.6457297801971436
